marca,categoria,canal,precio,costo,margen,margen_pct,competencia,demanda,tendencia,estacionalidad,rating_conexion,comentario,sentiment_score,conexion_score,conexion_alta,ventas_unidades,ventas_ingresos,utilidad,score_latente,exito
CrunchMax,cereal,retail,64.61,38.18,26.43,40.91,6,77,67,media,5,Lo compraría solo en promoción,0,40.0,0,14739,952286.79,389551.77,33.19,1
FiberPlus,cereal,retail,98.67,57.64,41.03,41.58,8,86,69,alta,8,Gran relación calidad-precio,1,76.0,1,14527,1433379.09,596042.81,30.1,1
VitalMix,cereal,retail,89.97,62.83,27.14,30.17,6,73,76,media,7,"Está bien, cumple",0,54.0,0,11710,1053548.7,317809.4,26.91,1
ChocoBoom,cereal,marketplace,91.33,62.96,28.37,31.06,7,72,61,media,10,Me encanta el sabor y la textura,1,90.0,1,10689,976226.37,303246.93,21.28,1
FitMorning,cereal,retail,174.63,88.19,86.44,49.5,7,55,58,alta,4,Me pareció caro para lo que ofrece,-1,18.0,0,3277,572262.51,283263.88,-2.01,0
HoneyOats,cereal,retail,65.04,43.57,21.47,33.01,6,70,55,baja,6,"Nada extraordinario, pero ok",0,47.0,0,11885,773000.4,255170.95,30.46,1
GoldenGrain,cereal,retail,155.38,104.7,50.68,32.62,6,58,65,media,6,Lo compraría solo en promoción,0,47.0,0,4582,711951.16,232215.76,15.95,0
FiberPlus,cereal,marketplace,132.64,82.83,49.81,37.55,10,65,62,media,6,Podría mejorar el sabor,0,47.0,0,4325,573668.0,215428.25,-5.41,0
CerealNova,cereal,marketplace,120.49,70.91,49.58,41.15,8,57,51,media,5,Es un cereal promedio,0,40.0,0,3781,455572.69,187461.98,-7.11,0
CornCrisp,cereal,marketplace,59.12,35.49,23.63,39.97,7,70,46,media,5,Podría mejorar el sabor,0,40.0,0,8982,531015.84,212244.66,18.17,0
KidsStar,cereal,marketplace,87.18,59.71,27.47,31.51,9,66,79,media,7,Podría mejorar el sabor,0,54.0,0,7592,661870.56,208552.24,8.95,0
CerealNova,cereal,marketplace,82.32,53.81,28.51,34.63,6,83,65,alta,8,Gran relación calidad-precio,1,76.0,1,14477,1191746.64,412739.27,40.84,1
KidsStar,cereal,retail,69.94,39.63,30.31,43.34,8,92,63,alta,8,Se siente premium y de buena calidad,1,76.0,1,21475,1501961.5,650907.25,42.1,1
ChocoBoom,cereal,marketplace,65.75,42.59,23.16,35.22,8,86,76,alta,9,Me identifico con la propuesta saludable,1,83.0,1,17654,1160750.5,408866.64,48.15,1
CrunchMax,cereal,marketplace,95.68,53.91,41.77,43.66,6,59,44,media,5,Es un cereal promedio,0,40.0,0,5824,557240.32,243268.48,6.54,0
CerealNova,cereal,retail,98.65,68.29,30.36,30.78,9,66,45,media,6,Podría mejorar el sabor,0,47.0,0,6395,630866.75,194152.2,-9.65,0
FiberPlus,cereal,marketplace,119.97,76.81,43.16,35.98,6,75,58,alta,5,Lo compraría solo en promoción,0,40.0,0,7082,849627.54,305659.12,17.81,0
CornCrisp,cereal,marketplace,68.19,40.32,27.87,40.87,6,79,60,media,7,"Nada extraordinario, pero ok",0,54.0,0,11694,797413.86,325911.78,23.85,1
ChocoBoom,cereal,retail,97.46,58.39,39.07,40.09,7,92,48,alta,7,"Nada extraordinario, pero ok",0,54.0,0,12791,1246610.86,499744.37,33.93,1
FitMorning,cereal,retail,109.7,74.24,35.46,32.32,6,77,49,media,7,Es un cereal promedio,0,54.0,0,8827,968321.9,313005.42,14.73,0
CerealNova,cereal,retail,86.45,39.77,46.68,54.0,7,86,59,media,5,"Está bien, cumple",0,40.0,0,11147,963658.15,520341.96,24.11,1
